検証区分,必要環境/前提,機能,区分一,区分二,区分三,正常/異常,実施場所,事前準備,検証の目的(何を確認するか),操作手順,期待される結果(合格条件),自動テスト,担当者名,確認結果,備考
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),認証,リフレッシュトークン,再利用検知,失効トークンの再提示,異常系,中央サーバー(PowerShell),中央サーバーが起動済みで PowerShell が使えること。コマンド内の URL は環境に合わせる(開発機は http://127.0.0.1:18080)。検証用ユーザーの資格情報,ログアウト等で無効化したトークンを再び使うと拒否される(盗難対策)ことを 手で確認する,"①PowerShell を開く
②$u='http://127.0.0.1:18080' を設定(本番は実際の URL)
③ログイン: $b=@{username='admin';password='Admin123!@#'}|ConvertTo-Json; $login=Invoke-RestMethod -Method Post -Uri ""$u/api/auth/login"" -ContentType 'application/json' -Body $b
④ログアウト: $h=@{Authorization=""Bearer $($login.accessToken)""}; $rb=@{refreshTokenId=$login.refreshTokenId;refreshToken=$login.refreshToken}|ConvertTo-Json; Invoke-RestMethod -Method Post -Uri ""$u/api/auth/logout"" -ContentType 'application/json' -Body $rb -Headers $h
⑤ログアウト済みの同じトークンで更新を試す(上の『更新』手順④を実行)",更新がエラーになる(失効済みトークンの再提示が検知される),○,,済(自動テスト; 2026-07-22 PowerShellで実機API操作でも独立に再確認),自動テストでも担保 AuthServiceTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,再利用検知,盗用時のファミリー全失効,異常系,自動テスト(手動不可),—(手動検証は不要),古いトークンを再提示すると 関連する全トークンが失効し 盗用の被害を断てることを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,有効期限,期限切れトークン,異常系,自動テスト(手動不可),—(手動検証は不要),期限切れトークンでは更新できないことを確認する(期限到来の再現に日数が必要なため自動で担保),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,不正値,存在しないトークンID,異常系,自動テスト(手動不可),—(手動検証は不要),存在しない ID では更新できないことを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,不正値,誤ったトークン値,異常系,自動テスト(手動不可),—(手動検証は不要),ID は合っていても値が違えば更新できないことを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,DB状態確認,ロック済みユーザー,異常系,自動テスト(手動不可),—(手動検証は不要),更新のたびにロック状態を確認し ロック中は更新を拒否することを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 AuthServiceTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,DB状態確認,PW変更前のトークン,異常系,自動テスト(手動不可),—(手動検証は不要),パスワード変更前に発行されたトークンは更新できないことを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(API検証+自動テスト),自動テストで担保 AuthServiceTests
− 自動テスト(手動不要),—(自動テストで担保),認証,リフレッシュトークン,記録,接続元IPの記録,正常系,自動テスト(手動不可),—(手動検証は不要),ログイン時の接続元 IP がトークンに記録されることを確認する(画面に出ない内部項目),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),セッション管理,アイドルタイムアウト,設定伝播,IdleMinutesの配信,正常系,自動テスト(手動不可),—(手動検証は不要),管理者が決めた無操作タイムアウト時間が ログイン時にクライアントへ伝わることを確認する(内部受け渡し),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 AuthServiceExtraTests
− 自動テスト(手動不要),—(自動テストで担保),セッション管理,アイドルタイムアウト,設定伝播,不正設定時の既定値,正常系,自動テスト(手動不可),—(手動検証は不要),タイムアウト設定が壊れていても既定30分にフォールバックすることを確認する,画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 AuthServiceExtraTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(一般ユーザー),セッション管理,アイドルタイムアウト,自動ログアウト,無操作で自動ログアウト,正常系,クライアントアプリ,中央サーバーが起動していて クライアントアプリに一般ユーザーでログイン済みであること(ログイン方法は『認証>手動ログイン』参照)。検証時間を短くするため 管理>システム設定で SessionIdleMinutes を 1 にしておくと早い,一定時間操作しないと自動でログアウトされることを確認する,①ログイン後 アプリを操作せず放置する(設定した分数だけ待つ),時間経過後 自動でログアウトされログイン画面に戻る,,,済(2026-07-22 実機検証(UI): SystemSettingsのSessionIdleMinutesを1に設定しログイン後75秒操作せず放置→「アイドルタイムアウト」ダイアログ(「無操作のためログアウトしました。再ログインしてください。」)が表示され、ログイン画面に戻ることを確認。),実機
